"subjectId" "activity" "domain" "signal" "instrument" "jerk_ind" "estimate_func" "axis" "mean"
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "mean()" "X" -0.9390990524
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "mean()" "Y" -0.86706520518
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "mean()" "Z" -0.8826668762
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "meanFreq()" "X" -0.158792670508
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "meanFreq()" "Y" 0.097534841586
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "meanFreq()" "Z" 0.08943765522
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "std()" "X" -0.9244374346
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "std()" "Y" -0.8336255561
1 "LAYING" "Frequency" "Body" "Accelerator" "N" "std()" "Z" -0.81289155944
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "mean()" "X" -0.9570738838
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "mean()" "Y" -0.9224626098
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "mean()" "Z" -0.9480609042
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "meanFreq()" "X" 0.132419092398
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "meanFreq()" "Y" 0.024513618956
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "meanFreq()" "Z" 0.02438794528
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "std()" "X" -0.9641607086
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "std()" "Y" -0.9322178704
1 "LAYING" "Frequency" "Body" "Accelerator" "Y" "std()" "Z" -0.9605869872
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "mean()" "X" -0.850249174586
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "mean()" "Y" -0.9521914948
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "mean()" "Z" -0.909302721
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "meanFreq()" "X" -0.003546795856
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "meanFreq()" "Y" -0.091529130882
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "meanFreq()" "Z" 0.01045812566
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "std()" "X" -0.8822964508
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "std()" "Y" -0.9512320494
1 "LAYING" "Frequency" "Body" "Gyroscope" "N" "std()" "Z" -0.9165825082
1 "LAYING" "Time" "Body" "Accelerator" "N" "mean()" "X" 0.22159824394
1 "LAYING" "Time" "Body" "Accelerator" "N" "mean()" "Y" -0.0405139534294
1 "LAYING" "Time" "Body" "Accelerator" "N" "mean()" "Z" -0.11320355358
1 "LAYING" "Time" "Body" "Accelerator" "N" "std()" "X" -0.9280564692
1 "LAYING" "Time" "Body" "Accelerator" "N" "std()" "Y" -0.83682740562
1 "LAYING" "Time" "Body" "Accelerator" "N" "std()" "Z" -0.826061401628
1 "LAYING" "Time" "Body" "Accelerator" "Y" "mean()" "X" 0.0810865342
1 "LAYING" "Time" "Body" "Accelerator" "Y" "mean()" "Y" 0.0038382040088
1 "LAYING" "Time" "Body" "Accelerator" "Y" "mean()" "Z" 0.010834236361
1 "LAYING" "Time" "Body" "Accelerator" "Y" "std()" "X" -0.958482112
1 "LAYING" "Time" "Body" "Accelerator" "Y" "std()" "Y" -0.9241492736
1 "LAYING" "Time" "Body" "Accelerator" "Y" "std()" "Z" -0.9548551108
1 "LAYING" "Time" "Body" "Gyroscope" "N" "mean()" "X" -0.016553093978
1 "LAYING" "Time" "Body" "Gyroscope" "N" "mean()" "Y" -0.064486124088
1 "LAYING" "Time" "Body" "Gyroscope" "N" "mean()" "Z" 0.14868943626
1 "LAYING" "Time" "Body" "Gyroscope" "N" "std()" "X" -0.87354386782
1 "LAYING" "Time" "Body" "Gyroscope" "N" "std()" "Y" -0.9510904402
1 "LAYING" "Time" "Body" "Gyroscope" "N" "std()" "Z" -0.9082846626
1 "LAYING" "Time" "Body" "Gyroscope" "Y" "mean()" "X" -0.107270949192
1 "LAYING" "Time" "Body" "Gyroscope" "Y" "mean()" "Y" -0.04151728689
1 "LAYING" "Time" "Body" "Gyroscope" "Y" "mean()" "Z" -0.0740501211
1 "LAYING" "Time" "Body" "Gyroscope" "Y" "std()" "X" -0.9186085208
1 "LAYING" "Time" "Body" "Gyroscope" "Y" "std()" "Y" -0.9679072436
1 "LAYING" "Time" "Body" "Gyroscope" "Y" "std()" "Z" -0.9577901596
1 "LAYING" "Time" "Gravity" "Accelerator" "N" "mean()" "X" -0.24888179828
1 "LAYING" "Time" "Gravity" "Accelerator" "N" "mean()" "Y" 0.70554977346
1 "LAYING" "Time" "Gravity" "Accelerator" "N" "mean()" "Z" 0.4458177198
1 "LAYING" "Time" "Gravity" "Accelerator" "N" "std()" "X" -0.8968300184
1 "LAYING" "Time" "Gravity" "Accelerator" "N" "std()" "Y" -0.90772000676
1 "LAYING" "Time" "Gravity" "Accelerator" "N" "std()" "Z" -0.85236629022
1 "LAYING" NA NA NA NA NA NA -0.701684600408182
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "mean()" "X" -0.979641238723404
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "mean()" "Y" -0.944084550425532
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "mean()" "Z" -0.959184889148936
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "meanFreq()" "X" -0.0495135975489362
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "meanFreq()" "Y" 0.0759460768510638
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "meanFreq()" "Z" 0.238829870148936
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "std()" "X" -0.976412313191489
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "std()" "Y" -0.917275006382979
1 "SITTING" "Frequency" "Body" "Accelerator" "N" "std()" "Z" -0.934469558085106
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "mean()" "X" -0.986597022553191
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "mean()" "Y" -0.981579467021277
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "mean()" "Z" -0.986053092340425
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "meanFreq()" "X" 0.256610823568085
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "meanFreq()" "Y" 0.0475437839595745
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "meanFreq()" "Z" 0.0923920032553192
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "std()" "X" -0.987492994468085
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "std()" "Y" -0.982513909574468
1 "SITTING" "Frequency" "Body" "Accelerator" "Y" "std()" "Z" -0.988339184893617
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "mean()" "X" -0.976161464042553
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "mean()" "Y" -0.975838585319149
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "mean()" "Z" -0.951315544468085
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "meanFreq()" "X" 0.189153021260851
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "meanFreq()" "Y" 0.0631270669787234
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "meanFreq()" "Z" -0.0297839207446809
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "std()" "X" -0.977904227021277
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "std()" "Y" -0.962345042553192
1 "SITTING" "Frequency" "Body" "Gyroscope" "N" "std()" "Z" -0.94391784106383
1 "SITTING" "Time" "Body" "Accelerator" "N" "mean()" "X" 0.261237565425532
